Código da Instituição,Nome da Instituição,Categoria Administrativa,Organização Acadêmica,Código do Curso de Graduação,Nome do Curso de Graduação,Código da Região Geográfica do Curso,Código da Unidade Federativa do Curso,Código do Município do Curso,Grau Acadêmico,Modalidade de Ensino,Código da área do Curso segundo a classificação CINE BRASIL,Nome da área do Curso segundo a classificação CINE BRASIL,Código da Grande Área do Curso segundo a classificação CINE BRASIL,Nome da Grande Área do Curso segundo a classificação CINE BRASIL,Ano de Ingresso,Ano de Referência,Prazo de Integralização em Anos,Ano de Integralização do Curso,Prazo de Acompanhamento do Curso em anos,Ano Máximo de Acompanhamento do Curso,Quantidade de Ingressantes no Curso,Quantidade de Permanência no Curso no ano de referência,Quantidade de Concluintes no Curso no ano de referência,Quantidade de Desistência no Curso no ano de referência,Quantidade de Falecimentos no Curso no ano de referência,Indicadores de Trajetória,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Taxa de Permanência - TAP,Taxa de Conclusão Acumulada - TCA,Taxa de Desistência Acumulada - TDA,Taxa de Conclusão Anual - TCAN,Taxa de Desistência Anual - TADA
CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,16,ENGENHARIA ELÉTRICA,5,51,5103403,1,1,0713E05,Engenharia elétrica,07,"Engenharia, produção e construção",2018,2022,5,2022,9,2026,83,57,7,1,0,"68,7","8,4","22,9","8,4","1,2"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,100768,ENGENHARIA FLORESTAL,5,51,5107909,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2018,5,2022,9,2026,66,62,0,4,0,"93,9","0,0","6,1","0,0","6,1"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,100768,ENGENHARIA FLORESTAL,5,51,5107909,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2019,5,2022,9,2026,66,49,0,13,0,"74,2","0,0","25,8","0,0","19,7"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,100768,ENGENHARIA FLORESTAL,5,51,5107909,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2020,5,2022,9,2026,66,47,0,2,0,"71,2","0,0","28,8","0,0","3,0"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,100768,ENGENHARIA FLORESTAL,5,51,5107909,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2021,5,2022,9,2026,66,46,0,1,0,"69,7","0,0","30,3","0,0","1,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,100768,ENGENHARIA FLORESTAL,5,51,5107909,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2022,5,2022,9,2026,66,38,5,3,0,"57,6","7,6","34,8","7,6","4,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,123055,ENGENHARIA CIVIL,5,51,5101803,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2018,5,2022,8,2025,65,63,0,2,0,"96,9","0,0","3,1","0,0","3,1"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,123055,ENGENHARIA CIVIL,5,51,5101803,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2019,5,2022,8,2025,65,62,0,1,0,"95,4","0,0","4,6","0,0","1,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,123055,ENGENHARIA CIVIL,5,51,5101803,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2020,5,2022,8,2025,65,61,1,0,0,"93,8","1,5","4,6","1,5","0,0"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,123055,ENGENHARIA CIVIL,5,51,5101803,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2021,5,2022,8,2025,65,50,8,3,0,"76,9","13,8","9,2","12,3","4,6"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,123055,ENGENHARIA CIVIL,5,51,5101803,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2022,5,2022,8,2025,65,43,6,1,0,"66,2","23,1","10,8","9,2","1,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270057,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,51,5108402,1,1,0714E05,Engenharia de controle e automação,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,57,56,0,1,0,"98,2","0,0","1,8","0,0","1,8"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270057,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,51,5108402,1,1,0714E05,Engenharia de controle e automação,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,57,50,0,6,0,"87,7","0,0","12,3","0,0","10,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270057,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,51,5108402,1,1,0714E05,Engenharia de controle e automação,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,57,49,0,1,0,"86,0","0,0","14,0","0,0","1,8"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270057,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,51,5108402,1,1,0714E05,Engenharia de controle e automação,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,57,48,0,1,0,"84,2","0,0","15,8","0,0","1,8"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270057,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5,51,5108402,1,1,0714E05,Engenharia de controle e automação,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,57,43,3,2,0,"75,4","5,3","19,3","5,3","3,5"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270062,ENGENHARIA DE COMPUTAÇÃO,5,51,5108402,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,61,60,0,1,0,"98,4","0,0","1,6","0,0","1,6"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270062,ENGENHARIA DE COMPUTAÇÃO,5,51,5108402,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,61,57,0,3,0,"93,4","0,0","6,6","0,0","4,9"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270062,ENGENHARIA DE COMPUTAÇÃO,5,51,5108402,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,61,52,0,5,0,"85,2","0,0","14,8","0,0","8,2"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270062,ENGENHARIA DE COMPUTAÇÃO,5,51,5108402,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,61,45,2,5,0,"73,8","3,3","23,0","3,3","8,2"
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,1,1270062,ENGENHARIA DE COMPUTAÇÃO,5,51,5108402,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,61,36,7,2,0,"59,0","14,8","26,2","11,5","3,3"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,294,ENGENHARIA CIVIL,2,28,2806701,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,100,93,0,7,0,"93,0","0,0","7,0","0,0","7,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,294,ENGENHARIA CIVIL,2,28,2806701,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,100,89,0,4,0,"89,0","0,0","11,0","0,0","4,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,294,ENGENHARIA CIVIL,2,28,2806701,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,100,75,1,13,0,"75,0","1,0","24,0","1,0","13,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,294,ENGENHARIA CIVIL,2,28,2806701,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,100,69,0,6,0,"69,0","1,0","30,0","0,0","6,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,294,ENGENHARIA CIVIL,2,28,2806701,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,100,59,7,3,0,"59,0","8,0","33,0","7,0","3,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,49673,ENGENHARIA FLORESTAL,2,28,2806701,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2018,6,2023,10,2027,48,38,0,10,0,"79,2","0,0","20,8","0,0","20,8"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,49673,ENGENHARIA FLORESTAL,2,28,2806701,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2019,6,2023,10,2027,48,25,0,13,0,"52,1","0,0","47,9","0,0","27,1"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,49673,ENGENHARIA FLORESTAL,2,28,2806701,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2020,6,2023,10,2027,48,21,0,4,0,"43,8","0,0","56,3","0,0","8,3"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,49673,ENGENHARIA FLORESTAL,2,28,2806701,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2021,6,2023,10,2027,48,15,0,6,0,"31,3","0,0","68,8","0,0","12,5"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,49673,ENGENHARIA FLORESTAL,2,28,2806701,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2022,6,2023,10,2027,48,12,0,3,0,"25,0","0,0","75,0","0,0","6,3"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99400,ENGENHARIA MECÂNICA,2,28,2806701,1,1,0715E02,Engenharia mecânica,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,50,47,0,3,0,"94,0","0,0","6,0","0,0","6,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99400,ENGENHARIA MECÂNICA,2,28,2806701,1,1,0715E02,Engenharia mecânica,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,50,41,0,6,0,"82,0","0,0","18,0","0,0","12,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99400,ENGENHARIA MECÂNICA,2,28,2806701,1,1,0715E02,Engenharia mecânica,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,50,32,0,9,0,"64,0","0,0","36,0","0,0","18,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99400,ENGENHARIA MECÂNICA,2,28,2806701,1,1,0715E02,Engenharia mecânica,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,50,30,0,2,0,"60,0","0,0","40,0","0,0","4,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99400,ENGENHARIA MECÂNICA,2,28,2806701,1,1,0715E02,Engenharia mecânica,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,50,27,1,2,0,"54,0","2,0","44,0","2,0","4,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99416,ENGENHARIA DE PRODUÇÃO,2,28,2806701,1,1,0725E02,Engenharia de produção,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,54,51,0,3,0,"94,4","0,0","5,6","0,0","5,6"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99416,ENGENHARIA DE PRODUÇÃO,2,28,2806701,1,1,0725E02,Engenharia de produção,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,54,48,0,3,0,"88,9","0,0","11,1","0,0","5,6"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99416,ENGENHARIA DE PRODUÇÃO,2,28,2806701,1,1,0725E02,Engenharia de produção,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,54,43,0,5,0,"79,6","0,0","20,4","0,0","9,3"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99416,ENGENHARIA DE PRODUÇÃO,2,28,2806701,1,1,0725E02,Engenharia de produção,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,54,39,1,3,0,"72,2","1,9","25,9","1,9","5,6"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,99416,ENGENHARIA DE PRODUÇÃO,2,28,2806701,1,1,0725E02,Engenharia de produção,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,54,29,8,2,0,"53,7","16,7","29,6","14,8","3,7"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116188,ENGENHARIA DE COMPUTAÇÃO,2,28,2806701,1,1,0616E01,Engenharia de computação (DCN Computação),06,Computação e Tecnologias da Informação e Comunicação (TIC),2018,2018,6,2023,10,2027,59,53,0,6,0,"89,8","0,0","10,2","0,0","10,2"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116188,ENGENHARIA DE COMPUTAÇÃO,2,28,2806701,1,1,0616E01,Engenharia de computação (DCN Computação),06,Computação e Tecnologias da Informação e Comunicação (TIC),2018,2019,6,2023,10,2027,59,51,0,2,0,"86,4","0,0","13,6","0,0","3,4"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116188,ENGENHARIA DE COMPUTAÇÃO,2,28,2806701,1,1,0616E01,Engenharia de computação (DCN Computação),06,Computação e Tecnologias da Informação e Comunicação (TIC),2018,2020,6,2023,10,2027,59,42,0,9,0,"71,2","0,0","28,8","0,0","15,3"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116188,ENGENHARIA DE COMPUTAÇÃO,2,28,2806701,1,1,0616E01,Engenharia de computação (DCN Computação),06,Computação e Tecnologias da Informação e Comunicação (TIC),2018,2021,6,2023,10,2027,59,37,0,5,0,"62,7","0,0","37,3","0,0","8,5"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116188,ENGENHARIA DE COMPUTAÇÃO,2,28,2806701,1,1,0616E01,Engenharia de computação (DCN Computação),06,Computação e Tecnologias da Informação e Comunicação (TIC),2018,2022,6,2023,10,2027,59,29,0,8,0,"49,2","0,0","50,8","0,0","13,6"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116220,ENGENHARIA ELÉTRICA,2,28,2806701,1,1,0713E05,Engenharia elétrica,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,50,50,0,0,0,"100,0","0,0","0,0","0,0","0,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116220,ENGENHARIA ELÉTRICA,2,28,2806701,1,1,0713E05,Engenharia elétrica,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,50,48,0,2,0,"96,0","0,0","4,0","0,0","4,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116220,ENGENHARIA ELÉTRICA,2,28,2806701,1,1,0713E05,Engenharia elétrica,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,50,41,0,7,0,"82,0","0,0","18,0","0,0","14,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116220,ENGENHARIA ELÉTRICA,2,28,2806701,1,1,0713E05,Engenharia elétrica,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,50,37,0,4,0,"74,0","0,0","26,0","0,0","8,0"
3,UNIVERSIDADE FEDERAL DE SERGIPE,1,1,116220,ENGENHARIA ELÉTRICA,2,28,2806701,1,1,0713E05,Engenharia elétrica,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,50,33,1,3,0,"66,0","2,0","32,0","2,0","6,0"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,383,ENGENHARIA CIVIL,1,13,1302603,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,53,52,0,1,0,"98,1","0,0","1,9","0,0","1,9"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,383,ENGENHARIA CIVIL,1,13,1302603,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,53,46,0,6,0,"86,8","0,0","13,2","0,0","11,3"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,383,ENGENHARIA CIVIL,1,13,1302603,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,53,44,0,2,0,"83,0","0,0","17,0","0,0","3,8"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,383,ENGENHARIA CIVIL,1,13,1302603,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,53,44,0,0,0,"83,0","0,0","17,0","0,0","0,0"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,383,ENGENHARIA CIVIL,1,13,1302603,1,1,0732E01,Engenharia civil,07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,53,41,2,1,0,"77,4","3,8","18,9","3,8","1,9"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,385,ENGENHARIA FLORESTAL,1,13,1302603,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2018,5,2022,9,2026,43,42,0,1,0,"97,7","0,0","2,3","0,0","2,3"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,385,ENGENHARIA FLORESTAL,1,13,1302603,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2019,5,2022,9,2026,43,42,0,0,0,"97,7","0,0","2,3","0,0","0,0"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,385,ENGENHARIA FLORESTAL,1,13,1302603,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2020,5,2022,9,2026,43,40,0,2,0,"93,0","0,0","7,0","0,0","4,7"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,385,ENGENHARIA FLORESTAL,1,13,1302603,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2021,5,2022,9,2026,43,37,0,3,0,"86,0","0,0","14,0","0,0","7,0"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,385,ENGENHARIA FLORESTAL,1,13,1302603,1,1,0821E01,Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",2018,2022,5,2022,9,2026,43,36,1,0,0,"83,7","2,3","14,0","2,3","0,0"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,84288,ENGENHARIA DA COMPUTAÇÃO,1,13,1302603,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,55,52,0,3,0,"94,5","0,0","5,5","0,0","5,5"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,84288,ENGENHARIA DA COMPUTAÇÃO,1,13,1302603,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2019,6,2023,10,2027,55,43,0,9,0,"78,2","0,0","21,8","0,0","16,4"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,84288,ENGENHARIA DA COMPUTAÇÃO,1,13,1302603,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2020,6,2023,10,2027,55,40,0,3,0,"72,7","0,0","27,3","0,0","5,5"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,84288,ENGENHARIA DA COMPUTAÇÃO,1,13,1302603,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2021,6,2023,10,2027,55,36,0,4,0,"65,5","0,0","34,5","0,0","7,3"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,84288,ENGENHARIA DA COMPUTAÇÃO,1,13,1302603,1,1,0714E04,Engenharia de computação (DCN Engenharia),07,"Engenharia, produção e construção",2018,2022,6,2023,10,2027,55,35,1,0,0,"63,6","1,8","34,5","1,8","0,0"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,1,1,84526,ENGENHARIA DE PRODUÇÃO,1,13,1302603,1,1,0725E02,Engenharia de produção,07,"Engenharia, produção e construção",2018,2018,6,2023,10,2027,47,44,0,3,0,"93,6","0,0","6,4","0,0","6,4"
