,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA ELÉTRICA,2018,210,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA ELÉTRICA,2019,105,0,105,"50,0","0,0","50,0","0,0","50,0","0,0"
ENGENHARIA ELÉTRICA,2020,98,0,7,"46,7","0,0","53,3","0,0","3,3","1,0"
ENGENHARIA ELÉTRICA,2021,84,0,14,"40,0","0,0","60,0","0,0","6,7","1,0"
ENGENHARIA ELÉTRICA,2022,66,0,18,"31,4","0,0","68,6","0,0","8,6","1,0"
ENGENHARIA MECÂNICA,2018,178,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA MECÂNICA,2019,97,0,81,"54,5","0,0","45,5","0,0","45,5","0,0"
ENGENHARIA MECÂNICA,2020,82,0,15,"46,1","0,0","53,9","0,0","8,4","1,0"
ENGENHARIA MECÂNICA,2021,70,0,12,"39,3","0,0","60,7","0,0","6,7","1,0"
ENGENHARIA MECÂNICA,2022,62,0,8,"34,8","0,0","65,2","0,0","4,5","1,0"
ENGENHARIA MECÂNICA,2018,58,0,21,"73,4","0,0","26,6","0,0","26,6","0,0"
ENGENHARIA MECÂNICA,2019,38,0,20,"48,1","0,0","51,9","0,0","25,3","0,0"
ENGENHARIA MECÂNICA,2020,30,3,5,"38,0","3,8","58,2","3,8","6,3","1,0"
ENGENHARIA MECÂNICA,2021,13,2,15,"16,5","6,3","77,2","2,5","19,0","1,0"
ENGENHARIA MECÂNICA,2022,11,0,2,"13,9","6,3","79,7","0,0","2,5","1,0"
ENGENHARIA MECÂNICA,2018,54,0,30,"64,3","0,0","35,7","0,0","35,7","0,0"
ENGENHARIA MECÂNICA,2019,31,1,22,"36,9","1,2","61,9","1,2","26,2","0,0"
ENGENHARIA MECÂNICA,2020,24,0,7,"28,6","1,2","70,2","0,0","8,3","1,0"
ENGENHARIA MECÂNICA,2021,4,0,20,"4,8","1,2","94,0","0,0","23,8","1,0"
ENGENHARIA MECÂNICA,2022,0,1,3,"0,0","2,4","97,6","1,2","3,6","1,0"
ENGENHARIA MECÂNICA,2018,51,0,18,"73,9","0,0","26,1","0,0","26,1","0,0"
ENGENHARIA MECÂNICA,2019,41,0,10,"59,4","0,0","40,6","0,0","14,5","0,0"
ENGENHARIA MECÂNICA,2020,32,2,7,"46,4","2,9","50,7","2,9","10,1","1,0"
ENGENHARIA MECÂNICA,2021,13,1,18,"18,8","4,3","76,8","1,4","26,1","1,0"
ENGENHARIA MECÂNICA,2022,7,2,4,"10,1","7,2","82,6","2,9","5,8","1,0"
ENGENHARIA CIVIL,2018,69,0,42,"62,2","0,0","37,8","0,0","37,8","0,0"
ENGENHARIA CIVIL,2019,45,0,24,"40,5","0,0","59,5","0,0","21,6","0,0"
ENGENHARIA CIVIL,2020,33,2,10,"29,7","1,8","68,5","1,8","9,0","1,0"
ENGENHARIA CIVIL,2021,0,0,33,"0,0","1,8","98,2","0,0","29,7","1,0"
ENGENHARIA CIVIL,2022,0,0,0,"0,0","1,8","98,2","0,0","0,0","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2018,3,0,24,"11,1","0,0","88,9","0,0","88,9","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2019,1,0,2,"3,7","0,0","96,3","0,0","7,4","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2020,0,0,1,"0,0","0,0","100,0","0,0","3,7","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2021,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,5,0,10,"33,3","0,0","66,7","0,0","66,7","0,0"
ENGENHARIA DE PRODUÇÃO,2019,3,1,1,"20,0","6,7","73,3","6,7","6,7","0,0"
ENGENHARIA DE PRODUÇÃO,2020,0,2,1,"0,0","20,0","80,0","13,3","6,7","1,0"
ENGENHARIA DE PRODUÇÃO,2021,0,0,0,"0,0","20,0","80,0","0,0","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2022,0,0,0,"0,0","20,0","80,0","0,0","0,0","1,0"
ENGENHARIA ELÉTRICA,2018,37,0,24,"60,7","0,0","39,3","0,0","39,3","0,0"
ENGENHARIA ELÉTRICA,2019,22,0,15,"36,1","0,0","63,9","0,0","24,6","0,0"
ENGENHARIA ELÉTRICA,2020,14,3,5,"23,0","4,9","72,1","4,9","8,2","1,0"
ENGENHARIA ELÉTRICA,2021,0,0,14,"0,0","4,9","95,1","0,0","23,0","1,0"
ENGENHARIA ELÉTRICA,2022,0,0,0,"0,0","4,9","95,1","0,0","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,16,0,12,"57,1","0,0","42,9","0,0","42,9","0,0"
ENGENHARIA DE PRODUÇÃO,2019,14,0,2,"50,0","0,0","50,0","0,0","7,1","0,0"
ENGENHARIA DE PRODUÇÃO,2020,13,0,1,"46,4","0,0","53,6","0,0","3,6","1,0"
ENGENHARIA DE PRODUÇÃO,2021,9,1,3,"32,1","3,6","64,3","3,6","10,7","1,0"
ENGENHARIA DE PRODUÇÃO,2022,2,4,3,"7,1","17,9","75,0","14,3","10,7","1,0"
ENGENHARIA DE PRODUÇÃO,2018,18,0,9,"66,7","0,0","33,3","0,0","33,3","0,0"
ENGENHARIA DE PRODUÇÃO,2019,12,0,6,"44,4","0,0","55,6","0,0","22,2","0,0"
ENGENHARIA DE PRODUÇÃO,2020,5,0,7,"18,5","0,0","81,5","0,0","25,9","1,0"
ENGENHARIA DE PRODUÇÃO,2021,0,0,5,"0,0","0,0","100,0","0,0","18,5","1,0"
ENGENHARIA DE PRODUÇÃO,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA CIVIL,2018,101,0,37,"73,2","0,0","26,8","0,0","26,8","0,0"
ENGENHARIA CIVIL,2019,68,4,29,"49,3","2,9","47,8","2,9","21,0","0,0"
ENGENHARIA CIVIL,2020,57,4,7,"41,3","5,8","52,9","2,9","5,1","1,0"
ENGENHARIA CIVIL,2021,30,3,24,"21,7","8,0","70,3","2,2","17,4","1,0"
ENGENHARIA CIVIL,2022,19,5,6,"13,8","11,6","74,6","3,6","4,3","1,0"
ENGENHARIA ELÉTRICA,2018,27,0,19,"58,7","0,0","41,3","0,0","41,3","0,0"
ENGENHARIA ELÉTRICA,2019,17,0,10,"37,0","0,0","63,0","0,0","21,7","0,0"
ENGENHARIA ELÉTRICA,2020,16,0,1,"34,8","0,0","65,2","0,0","2,2","1,0"
ENGENHARIA ELÉTRICA,2021,5,1,10,"10,9","2,2","87,0","2,2","21,7","1,0"
ENGENHARIA ELÉTRICA,2022,2,2,1,"4,3","6,5","89,1","4,3","2,2","1,0"
ENGENHARIA CIVIL,2018,83,0,37,"69,2","0,0","30,8","0,0","30,8","0,0"
ENGENHARIA CIVIL,2019,48,0,35,"40,0","0,0","60,0","0,0","29,2","0,0"
ENGENHARIA CIVIL,2020,34,3,11,"28,3","2,5","69,2","2,5","9,2","1,0"
ENGENHARIA CIVIL,2021,21,0,13,"17,5","2,5","80,0","0,0","10,8","1,0"
ENGENHARIA CIVIL,2022,14,3,4,"11,7","5,0","83,3","2,5","3,3","1,0"
ENGENHARIA MECÂNICA,2018,20,0,17,"54,1","0,0","45,9","0,0","45,9","0,0"
ENGENHARIA MECÂNICA,2019,15,0,5,"40,5","0,0","59,5","0,0","13,5","0,0"
ENGENHARIA MECÂNICA,2020,10,0,5,"27,0","0,0","73,0","0,0","13,5","1,0"
ENGENHARIA MECÂNICA,2021,5,0,5,"13,5","0,0","86,5","0,0","13,5","1,0"
ENGENHARIA MECÂNICA,2022,3,0,2,"8,1","0,0","91,9","0,0","5,4","1,0"
ENGENHARIA CIVIL,2018,73,0,40,"64,6","0,0","35,4","0,0","35,4","0,0"
ENGENHARIA CIVIL,2019,44,0,29,"38,9","0,0","61,1","0,0","25,7","0,0"
ENGENHARIA CIVIL,2020,30,0,14,"26,5","0,0","73,5","0,0","12,4","1,0"
ENGENHARIA CIVIL,2021,22,2,6,"19,5","1,8","78,8","1,8","5,3","1,0"
ENGENHARIA CIVIL,2022,9,11,2,"8,0","11,5","80,5","9,7","1,8","1,0"
ENGENHARIA MECÂNICA,2018,11,0,15,"42,3","0,0","57,7","0,0","57,7","0,0"
ENGENHARIA MECÂNICA,2019,0,0,11,"0,0","0,0","100,0","0,0","42,3","0,0"
ENGENHARIA MECÂNICA,2020,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA MECÂNICA,2021,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA MECÂNICA,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA CIVIL,2018,69,0,42,"62,2","0,0","37,8","0,0","37,8","0,0"
ENGENHARIA CIVIL,2019,46,0,23,"41,4","0,0","58,6","0,0","20,7","0,0"
ENGENHARIA CIVIL,2020,36,0,10,"32,4","0,0","67,6","0,0","9,0","1,0"
ENGENHARIA CIVIL,2021,25,1,10,"22,5","0,9","76,6","0,9","9,0","1,0"
ENGENHARIA CIVIL,2022,12,7,6,"10,8","7,2","82,0","6,3","5,4","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,22,0,21,"51,2","0,0","48,8","0,0","48,8","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,18,0,4,"41,9","0,0","58,1","0,0","9,3","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,0,0,18,"0,0","0,0","100,0","0,0","41,9","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA ELÉTRICA,2018,24,0,12,"66,7","0,0","33,3","0,0","33,3","0,0"
ENGENHARIA ELÉTRICA,2019,15,0,9,"41,7","0,0","58,3","0,0","25,0","0,0"
ENGENHARIA ELÉTRICA,2020,7,0,8,"19,4","0,0","80,6","0,0","22,2","1,0"
ENGENHARIA ELÉTRICA,2021,4,0,3,"11,1","0,0","88,9","0,0","8,3","1,0"
ENGENHARIA ELÉTRICA,2022,1,0,3,"2,8","0,0","97,2","0,0","8,3","1,0"
ENGENHARIA ELÉTRICA,2018,24,0,21,"53,3","0,0","46,7","0,0","46,7","0,0"
ENGENHARIA ELÉTRICA,2019,15,0,9,"33,3","0,0","66,7","0,0","20,0","0,0"
ENGENHARIA ELÉTRICA,2020,0,0,15,"0,0","0,0","100,0","0,0","33,3","1,0"
ENGENHARIA ELÉTRICA,2021,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA ELÉTRICA,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,18,0,19,"48,6","0,0","51,4","0,0","51,4","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,13,0,5,"35,1","0,0","64,9","0,0","13,5","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,3,0,10,"8,1","0,0","91,9","0,0","27,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,0,0,3,"0,0","0,0","100,0","0,0","8,1","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,29,0,9,"76,3","0,0","23,7","0,0","23,7","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,20,0,9,"52,6","0,0","47,4","0,0","23,7","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,18,0,2,"47,4","0,0","52,6","0,0","5,3","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,14,0,4,"36,8","0,0","63,2","0,0","10,5","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,11,2,1,"28,9","5,3","65,8","5,3","2,6","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,34,0,17,"66,7","0,0","33,3","0,0","33,3","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,25,0,9,"49,0","0,0","51,0","0,0","17,6","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,16,0,9,"31,4","0,0","68,6","0,0","17,6","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,5,0,11,"9,8","0,0","90,2","0,0","21,6","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,5,0,0,"9,8","0,0","90,2","0,0","0,0","1,0"
ENGENHARIA ELÉTRICA,2018,28,0,10,"73,7","0,0","26,3","0,0","26,3","0,0"
ENGENHARIA ELÉTRICA,2019,20,0,8,"52,6","0,0","47,4","0,0","21,1","0,0"
ENGENHARIA ELÉTRICA,2020,17,0,3,"44,7","0,0","55,3","0,0","7,9","1,0"
ENGENHARIA ELÉTRICA,2021,10,0,7,"26,3","0,0","73,7","0,0","18,4","1,0"
ENGENHARIA ELÉTRICA,2022,5,3,2,"13,2","7,9","78,9","7,9","5,3","1,0"
ENGENHARIA CIVIL,2018,51,4,24,"64,6","5,1","30,4","5,1","30,4","0,0"
ENGENHARIA CIVIL,2019,29,10,12,"36,7","17,7","45,6","12,7","15,2","0,0"
ENGENHARIA CIVIL,2020,18,4,7,"22,8","22,8","54,4","5,1","8,9","1,0"
ENGENHARIA CIVIL,2021,11,3,4,"13,9","26,6","59,5","3,8","5,1","1,0"
ENGENHARIA CIVIL,2022,3,8,0,"3,8","36,7","59,5","10,1","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,24,0,5,"82,8","0,0","17,2","0,0","17,2","0,0"
ENGENHARIA DE PRODUÇÃO,2019,15,1,8,"51,7","3,4","44,8","3,4","27,6","0,0"
ENGENHARIA DE PRODUÇÃO,2020,10,0,5,"34,5","3,4","62,1","0,0","17,2","1,0"
ENGENHARIA DE PRODUÇÃO,2021,9,0,1,"31,0","3,4","65,5","0,0","3,4","1,0"
ENGENHARIA DE PRODUÇÃO,2022,7,0,2,"24,1","3,4","72,4","0,0","6,9","1,0"
ENGENHARIA MECÂNICA,2018,5,0,2,"71,4","0,0","28,6","0,0","28,6","0,0"
ENGENHARIA MECÂNICA,2019,4,0,1,"57,1","0,0","42,9","0,0","14,3","0,0"
ENGENHARIA MECÂNICA,2020,1,1,2,"14,3","14,3","71,4","14,3","28,6","1,0"
ENGENHARIA MECÂNICA,2021,1,0,0,"14,3","14,3","71,4","0,0","0,0","1,0"
ENGENHARIA MECÂNICA,2022,0,0,1,"0,0","14,3","85,7","0,0","14,3","1,0"
ENGENHARIA ELÉTRICA,2018,10,0,1,"90,9","0,0","9,1","0,0","9,1","0,0"
ENGENHARIA ELÉTRICA,2019,8,1,1,"72,7","9,1","18,2","9,1","9,1","0,0"
ENGENHARIA ELÉTRICA,2020,5,2,1,"45,5","27,3","27,3","18,2","9,1","1,0"
ENGENHARIA ELÉTRICA,2021,1,0,4,"9,1","27,3","63,6","0,0","36,4","1,0"
ENGENHARIA ELÉTRICA,2022,0,0,1,"0,0","27,3","72,7","0,0","9,1","1,0"
ENGENHARIA MECÂNICA,2018,44,0,25,"63,8","0,0","36,2","0,0","36,2","0,0"
ENGENHARIA MECÂNICA,2019,29,0,15,"42,0","0,0","58,0","0,0","21,7","0,0"
ENGENHARIA MECÂNICA,2020,12,0,17,"17,4","0,0","82,6","0,0","24,6","1,0"
ENGENHARIA MECÂNICA,2021,10,0,2,"14,5","0,0","85,5","0,0","2,9","1,0"
ENGENHARIA MECÂNICA,2022,6,1,3,"8,7","1,4","89,9","1,4","4,3","1,0"
ENGENHARIA CIVIL,2018,14,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA CIVIL,2019,8,0,6,"57,1","0,0","42,9","0,0","42,9","0,0"
ENGENHARIA CIVIL,2020,6,0,2,"42,9","0,0","57,1","0,0","14,3","1,0"
ENGENHARIA CIVIL,2021,5,0,1,"35,7","0,0","64,3","0,0","7,1","1,0"
ENGENHARIA CIVIL,2022,3,2,0,"21,4","14,3","64,3","14,3","0,0","1,0"
ENGENHARIA ELÉTRICA,2018,12,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA ELÉTRICA,2019,1,0,11,"8,3","0,0","91,7","0,0","91,7","0,0"
ENGENHARIA ELÉTRICA,2020,0,0,1,"0,0","0,0","100,0","0,0","8,3","1,0"
ENGENHARIA ELÉTRICA,2021,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA ELÉTRICA,2022,0,0,0,"0,0","0,0","100,0","0,0","0,0","1,0"
ENGENHARIA MECÂNICA,2018,13,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA MECÂNICA,2019,4,0,9,"30,8","0,0","69,2","0,0","69,2","0,0"
ENGENHARIA MECÂNICA,2020,2,0,2,"15,4","0,0","84,6","0,0","15,4","1,0"
ENGENHARIA MECÂNICA,2021,1,0,1,"7,7","0,0","92,3","0,0","7,7","1,0"
ENGENHARIA MECÂNICA,2022,1,0,0,"7,7","0,0","92,3","0,0","0,0","1,0"
ENGENHARIA CIVIL,2018,151,0,21,"87,8","0,0","12,2","0,0","12,2","0,0"
ENGENHARIA CIVIL,2019,119,2,30,"69,2","1,2","29,7","1,2","17,4","0,0"
ENGENHARIA CIVIL,2020,104,5,10,"60,5","4,1","35,5","2,9","5,8","1,0"
ENGENHARIA CIVIL,2021,76,18,9,"44,4","14,6","40,9","10,5","5,3","1,0"
ENGENHARIA CIVIL,2022,35,34,7,"20,5","34,5","45,0","19,9","4,1","1,0"
ENGENHARIA MECÂNICA,2018,62,0,8,"88,6","0,0","11,4","0,0","11,4","0,0"
ENGENHARIA MECÂNICA,2019,47,2,13,"67,1","2,9","30,0","2,9","18,6","0,0"
ENGENHARIA MECÂNICA,2020,41,1,5,"58,6","4,3","37,1","1,4","7,1","1,0"
ENGENHARIA MECÂNICA,2021,35,2,4,"50,0","7,1","42,9","2,9","5,7","1,0"
ENGENHARIA MECÂNICA,2022,24,7,4,"34,3","17,1","48,6","10,0","5,7","1,0"
ENGENHARIA CIVIL,2018,35,0,8,"81,4","0,0","18,6","0,0","18,6","0,0"
ENGENHARIA CIVIL,2019,25,1,9,"58,1","2,3","39,5","2,3","20,9","0,0"
ENGENHARIA CIVIL,2020,20,1,4,"46,5","4,7","48,8","2,3","9,3","1,0"
ENGENHARIA CIVIL,2021,16,2,2,"37,2","9,3","53,5","4,7","4,7","1,0"
ENGENHARIA CIVIL,2022,5,8,3,"11,6","27,9","60,5","18,6","7,0","1,0"
ENGENHARIA ELÉTRICA,2018,41,0,6,"87,2","0,0","12,8","0,0","12,8","0,0"
ENGENHARIA ELÉTRICA,2019,33,0,8,"70,2","0,0","29,8","0,0","17,0","0,0"
ENGENHARIA ELÉTRICA,2020,31,0,2,"66,0","0,0","34,0","0,0","4,3","1,0"
ENGENHARIA ELÉTRICA,2021,27,3,1,"57,4","6,4","36,2","6,4","2,1","1,0"
ENGENHARIA ELÉTRICA,2022,10,17,0,"21,3","42,6","36,2","36,2","0,0","1,0"
ENGENHARIA MECÂNICA,2018,183,1,45,"79,9","0,4","19,7","0,4","19,7","0,0"
ENGENHARIA MECÂNICA,2019,146,0,37,"63,8","0,4","35,8","0,0","16,2","0,0"
ENGENHARIA MECÂNICA,2020,136,2,8,"59,4","1,3","39,3","0,9","3,5","1,0"
ENGENHARIA MECÂNICA,2021,108,2,26,"47,2","2,2","50,7","0,9","11,4","1,0"
ENGENHARIA MECÂNICA,2022,4,2,102,"1,7","3,1","95,2","0,9","44,5","1,0"
ENGENHARIA CIVIL,2018,168,0,48,"77,8","0,0","22,2","0,0","22,2","0,0"
ENGENHARIA CIVIL,2019,109,1,58,"50,5","0,5","49,1","0,5","26,9","0,0"
ENGENHARIA CIVIL,2020,100,1,8,"46,3","0,9","52,8","0,5","3,7","1,0"
ENGENHARIA CIVIL,2021,71,2,27,"32,9","1,9","65,3","0,9","12,5","1,0"
ENGENHARIA CIVIL,2022,7,1,63,"3,2","2,3","94,4","0,5","29,2","1,0"
ENGENHARIA DE PRODUÇÃO,2018,97,0,32,"75,2","0,0","24,8","0,0","24,8","0,0"
ENGENHARIA DE PRODUÇÃO,2019,91,1,5,"70,5","0,8","28,7","0,8","3,9","0,0"
ENGENHARIA DE PRODUÇÃO,2020,66,7,18,"51,2","6,2","42,6","5,4","14,0","1,0"
ENGENHARIA DE PRODUÇÃO,2021,44,4,18,"34,1","9,3","56,6","3,1","14,0","1,0"
ENGENHARIA DE PRODUÇÃO,2022,6,0,38,"4,7","9,3","86,0","0,0","29,5","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,83,0,17,"83,0","0,0","17,0","0,0","17,0","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,76,0,7,"76,0","0,0","24,0","0,0","7,0","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,46,1,29,"46,0","1,0","53,0","1,0","29,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,31,2,13,"31,0","3,0","66,0","2,0","13,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,3,0,28,"3,0","3,0","94,0","0,0","28,0","1,0"
ENGENHARIA MECATRÔNICA,2018,36,0,13,"73,5","0,0","26,5","0,0","26,5","0,0"
ENGENHARIA MECATRÔNICA,2019,33,0,3,"67,3","0,0","32,7","0,0","6,1","0,0"
ENGENHARIA MECATRÔNICA,2020,17,1,15,"34,7","2,0","63,3","2,0","30,6","1,0"
ENGENHARIA MECATRÔNICA,2021,10,0,7,"20,4","2,0","77,6","0,0","14,3","1,0"
ENGENHARIA MECATRÔNICA,2022,1,2,7,"2,0","6,1","91,8","4,1","14,3","1,0"
ENGENHARIA ELÉTRICA,2018,98,0,2,"98,0","0,0","2,0","0,0","2,0","0,0"
ENGENHARIA ELÉTRICA,2019,91,0,7,"91,0","0,0","9,0","0,0","7,0","0,0"
ENGENHARIA ELÉTRICA,2020,78,2,11,"78,0","2,0","20,0","2,0","11,0","1,0"
ENGENHARIA ELÉTRICA,2021,61,1,16,"61,0","3,0","36,0","1,0","16,0","1,0"
ENGENHARIA ELÉTRICA,2022,6,3,52,"6,0","6,0","88,0","3,0","52,0","1,0"
ENGENHARIA CIVIL,2018,91,1,40,"68,9","0,8","30,3","0,8","30,3","0,0"
ENGENHARIA CIVIL,2019,90,1,0,"68,2","1,5","30,3","0,8","0,0","0,0"
ENGENHARIA CIVIL,2020,46,4,40,"34,8","4,5","60,6","3,0","30,3","1,0"
ENGENHARIA CIVIL,2021,23,0,23,"17,4","4,5","78,0","0,0","17,4","1,0"
ENGENHARIA CIVIL,2022,7,6,10,"5,3","9,1","85,6","4,5","7,6","1,0"
ENGENHARIA DE PRODUÇÃO,2018,32,0,8,"80,0","0,0","20,0","0,0","20,0","0,0"
ENGENHARIA DE PRODUÇÃO,2019,32,0,0,"80,0","0,0","20,0","0,0","0,0","0,0"
ENGENHARIA DE PRODUÇÃO,2020,23,3,6,"57,5","7,5","35,0","7,5","15,0","1,0"
ENGENHARIA DE PRODUÇÃO,2021,15,0,8,"37,5","7,5","55,0","0,0","20,0","1,0"
ENGENHARIA DE PRODUÇÃO,2022,10,1,4,"25,0","10,0","65,0","2,5","10,0","1,0"
ENGENHARIA MECÂNICA,2018,39,0,12,"76,5","0,0","23,5","0,0","23,5","0,0"
ENGENHARIA MECÂNICA,2019,38,0,1,"74,5","0,0","25,5","0,0","2,0","0,0"
ENGENHARIA MECÂNICA,2020,29,0,9,"56,9","0,0","43,1","0,0","17,6","1,0"
ENGENHARIA MECÂNICA,2021,15,0,14,"29,4","0,0","70,6","0,0","27,5","1,0"
ENGENHARIA MECÂNICA,2022,10,0,5,"19,6","0,0","80,4","0,0","9,8","1,0"
ENGENHARIA ELÉTRICA,2018,44,0,13,"77,2","0,0","22,8","0,0","22,8","0,0"
ENGENHARIA ELÉTRICA,2019,42,0,2,"73,7","0,0","26,3","0,0","3,5","0,0"
ENGENHARIA ELÉTRICA,2020,36,1,5,"63,2","1,8","35,1","1,8","8,8","1,0"
ENGENHARIA ELÉTRICA,2021,26,0,10,"45,6","1,8","52,6","0,0","17,5","1,0"
ENGENHARIA ELÉTRICA,2022,13,0,13,"22,8","1,8","75,4","0,0","22,8","1,0"
ENGENHARIA MECATRÔNICA,2018,40,0,10,"80,0","0,0","20,0","0,0","20,0","0,0"
ENGENHARIA MECATRÔNICA,2019,40,0,0,"80,0","0,0","20,0","0,0","0,0","0,0"
ENGENHARIA MECATRÔNICA,2020,28,0,12,"56,0","0,0","44,0","0,0","24,0","1,0"
ENGENHARIA MECATRÔNICA,2021,17,1,10,"34,0","2,0","64,0","2,0","20,0","1,0"
ENGENHARIA MECATRÔNICA,2022,11,2,4,"22,0","6,0","72,0","4,0","8,0","1,0"
ENGENHARIA CIVIL,2018,67,1,17,"78,8","1,2","20,0","1,2","20,0","0,0"
ENGENHARIA CIVIL,2019,49,3,15,"57,6","4,7","37,6","3,5","17,6","0,0"
ENGENHARIA CIVIL,2020,40,7,2,"47,1","12,9","40,0","8,2","2,4","1,0"
ENGENHARIA CIVIL,2021,29,10,1,"34,1","24,7","41,2","11,8","1,2","1,0"
ENGENHARIA CIVIL,2022,12,14,3,"14,1","41,2","44,7","16,5","3,5","1,0"
ENGENHARIA ELÉTRICA,2018,30,0,15,"66,7","0,0","33,3","0,0","33,3","0,0"
ENGENHARIA ELÉTRICA,2019,22,5,3,"48,9","11,1","40,0","11,1","6,7","0,0"
ENGENHARIA ELÉTRICA,2020,17,5,0,"37,8","22,2","40,0","11,1","0,0","1,0"
ENGENHARIA ELÉTRICA,2021,13,4,0,"28,9","31,1","40,0","8,9","0,0","1,0"
ENGENHARIA ELÉTRICA,2022,7,4,2,"15,6","40,0","44,4","8,9","4,4","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,14,0,3,"82,4","0,0","17,6","0,0","17,6","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,8,0,6,"47,1","0,0","52,9","0,0","35,3","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,5,0,3,"29,4","0,0","70,6","0,0","17,6","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,5,0,0,"29,4","0,0","70,6","0,0","0,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,2,2,1,"11,8","11,8","76,5","11,8","5,9","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2018,14,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2019,13,0,1,"92,9","0,0","7,1","0,0","7,1","0,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2020,5,0,8,"35,7","0,0","64,3","0,0","57,1","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2021,5,0,0,"35,7","0,0","64,3","0,0","0,0","1,0"
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2022,2,2,1,"14,3","14,3","71,4","14,3","7,1","1,0"
ENGENHARIA MECÂNICA,2018,36,0,7,"83,7","0,0","16,3","0,0","16,3","0,0"
ENGENHARIA MECÂNICA,2019,28,0,8,"65,1","0,0","34,9","0,0","18,6","0,0"
ENGENHARIA MECÂNICA,2020,19,0,9,"44,2","0,0","55,8","0,0","20,9","1,0"
ENGENHARIA MECÂNICA,2021,16,1,2,"37,2","2,3","60,5","2,3","4,7","1,0"
