,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA DE COMPUTAÇÃO,2021,37,0,5,"62,7","0,0","37,3","0,0","8,5","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,29,0,8,"49,2","0,0","50,8","0,0","13,6","1,0"
ENGENHARIA ELÉTRICA,2018,50,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA ELÉTRICA,2019,48,0,2,"96,0","0,0","4,0","0,0","4,0","0,0"
ENGENHARIA ELÉTRICA,2020,41,0,7,"82,0","0,0","18,0","0,0","14,0","1,0"
ENGENHARIA ELÉTRICA,2021,37,0,4,"74,0","0,0","26,0","0,0","8,0","1,0"
ENGENHARIA ELÉTRICA,2022,33,1,3,"66,0","2,0","32,0","2,0","6,0","1,0"
ENGENHARIA CIVIL,2018,52,0,1,"98,1","0,0","1,9","0,0","1,9","0,0"
ENGENHARIA CIVIL,2019,46,0,6,"86,8","0,0","13,2","0,0","11,3","0,0"
ENGENHARIA CIVIL,2020,44,0,2,"83,0","0,0","17,0","0,0","3,8","1,0"
ENGENHARIA CIVIL,2021,44,0,0,"83,0","0,0","17,0","0,0","0,0","1,0"
ENGENHARIA CIVIL,2022,41,2,1,"77,4","3,8","18,9","3,8","1,9","1,0"
ENGENHARIA FLORESTAL,2018,42,0,1,"97,7","0,0","2,3","0,0","2,3","0,0"
ENGENHARIA FLORESTAL,2019,42,0,0,"97,7","0,0","2,3","0,0","0,0","0,0"
ENGENHARIA FLORESTAL,2020,40,0,2,"93,0","0,0","7,0","0,0","4,7","1,0"
ENGENHARIA FLORESTAL,2021,37,0,3,"86,0","0,0","14,0","0,0","7,0","1,0"
ENGENHARIA FLORESTAL,2022,36,1,0,"83,7","2,3","14,0","2,3","0,0","1,0"
ENGENHARIA DA COMPUTAÇÃO,2018,52,0,3,"94,5","0,0","5,5","0,0","5,5","0,0"
ENGENHARIA DA COMPUTAÇÃO,2019,43,0,9,"78,2","0,0","21,8","0,0","16,4","0,0"
ENGENHARIA DA COMPUTAÇÃO,2020,40,0,3,"72,7","0,0","27,3","0,0","5,5","1,0"
ENGENHARIA DA COMPUTAÇÃO,2021,36,0,4,"65,5","0,0","34,5","0,0","7,3","1,0"
ENGENHARIA DA COMPUTAÇÃO,2022,35,1,0,"63,6","1,8","34,5","1,8","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,44,0,3,"93,6","0,0","6,4","0,0","6,4","0,0"
ENGENHARIA DE PRODUÇÃO,2019,43,0,1,"91,5","0,0","8,5","0,0","2,1","0,0"
ENGENHARIA DE PRODUÇÃO,2020,43,0,0,"91,5","0,0","8,5","0,0","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2021,43,0,0,"91,5","0,0","8,5","0,0","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2022,38,5,0,"80,9","10,6","8,5","10,6","0,0","1,0"
ENGENHARIA AMBIENTAL,2018,43,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA AMBIENTAL,2019,43,0,0,"100,0","0,0","0,0","0,0","0,0","0,0"
ENGENHARIA AMBIENTAL,2020,42,0,1,"97,7","0,0","2,3","0,0","2,3","1,0"
ENGENHARIA AMBIENTAL,2021,42,0,0,"97,7","0,0","2,3","0,0","0,0","1,0"
ENGENHARIA AMBIENTAL,2022,42,0,0,"97,7","0,0","2,3","0,0","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,46,0,2,"95,8","0,0","4,2","0,0","4,2","0,0"
ENGENHARIA DE PRODUÇÃO,2019,44,0,2,"91,7","0,0","8,3","0,0","4,2","0,0"
ENGENHARIA DE PRODUÇÃO,2020,43,0,1,"89,6","0,0","10,4","0,0","2,1","1,0"
