Instituição,Curso,A.Referencia,Integrantes,Permanecia.A.R,Concluintes.A.R,Desistencia A.R,Taxa Permanencia,Conclusão Acumulada,Desistencia Acmld,Conclusão Anual,Desistencia Anual,Pandemia - Ead
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2017,81,77,0,4,"95,1","0,0","4,9","0,0","4,9",não
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2018,81,64,0,13,"79,0","0,0","21,0","0,0","16,0",não
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2019,81,50,2,12,"61,7","2,5","35,8","2,5","14,8",não
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2020,81,48,0,2,"59,3","2,5","38,3","0,0","2,5",sim
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2021,81,47,1,0,"58,0","3,7","38,3","1,2","0,0",sim
