Instituição:;Instituto Federal do Acre;;;;;;
Responsável pelo dado:;Pró-reitoria de Ensino;;;;;;
Fonte:;Plataforma Nilo Peçanha;;;;;;
Url;https://www.gov.br/mec/pt-br/pnp;;;;;;
Ano base;2021;;;;;;
Dado: ;Alunos que saem da instiuição na condição sem concluir o curso (abandono, cancelado, desligado, transferência e reprovado);;;;;;
;Total de alunos egressos, exceto os concluintes, por curso.;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;Evadidos;;;;
Campi;Curso;Tipo de Curso;Abandono;Cancelada;Desligada;Reprovado;Transf. Externa
Campus Avançado Baixada do Sol;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);0;0;0;0;0
Campus Avançado Baixada do Sol;Especialização (Lato Sensu) - Recursos Naturais;Especialização (Lato Sensu);0;0;0;0;0
Campus Avançado Baixada do Sol;Técnico em Agroecologia;Técnico;0;0;7;0;0
Campus Avançado Baixada do Sol;Técnico em Agropecuária;Técnico;0;0;0;0;0
Campus Avançado Baixada do Sol;Técnico em Aquicultura;Técnico;0;0;0;0;0
Campus Avançado Baixada do Sol;Técnico em Recursos Pesqueiros;Técnico;0;0;2;0;0
Campus Avançado Baixada do Sol;Técnico em Zootecnia;Técnico;1;0;8;0;0
Campus Cruzeiro do Sul;Agroecologia;Tecnologia;45;0;4;0;0
Campus Cruzeiro do Sul;Física;Licenciatura;28;0;7;0;1
Campus Cruzeiro do Sul;Matemática;Licenciatura;27;0;2;0;0
Campus Cruzeiro do Sul;Processos Escolares;Tecnologia;37;0;3;0;2
Campus Cruzeiro do Sul;Técnico em Agropecuária;Técnico;7;0;0;0;13
Campus Cruzeiro do Sul;Técnico em Meio Ambiente;Técnico;3;0;0;0;19
Campus Cruzeiro do Sul;Técnico em Recursos Pesqueiros;Técnico;10;0;2;0;0
Campus Cruzeiro do Sul;Técnico em Zootecnia;Técnico;27;0;5;0;0
Campus Rio Branco;Administração;Bacharelado;18;0;0;0;0
Campus Rio Branco;Assistente Administrativo;Qualificação Profissional (FIC);63;0;0;0;0
Campus Rio Branco;Assistente de Recursos Humanos;Qualificação Profissional (FIC);48;0;0;0;0
Campus Rio Branco;Ciências Biológicas;Licenciatura;59;0;1;0;2
Campus Rio Branco;Especialização (Lato Sensu) - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);2;0;0;0;0
Campus Rio Branco;Especialização (Lato Sensu) - Gestão e Negócios;Especialização (Lato Sensu);3;0;0;0;0
Campus Rio Branco;Inglês Básico;Qualificação Profissional (FIC);0;0;0;0;0
Campus Rio Branco;Inglês Intermediário;Qualificação Profissional (FIC);0;0;0;0;0
